id_municipio,ano,total_licencas_obras,area_total_construida
4314902,2020,741,2680776.3799999985
4314902,2021,1082,3894327.1700000009
4314902,2022,1001,2944994.5200000019
5208707,2009,268,146156.79999999987
5208707,2010,580,704862.75000000047
5208707,2011,467,393278.87
5208707,2012,430,637138.57000000076
5208707,2013,539,610388.86000000068
5208707,2014,829,951745.079999999
5208707,2015,1307,1421442.6200000027
5208707,2016,922,767547.33000000031
5208707,2017,740,1050898.2299999997
5208707,2018,1116,2198713.3999999976
5208707,2019,2071,6570047.1999999955
5208707,2020,2000,3662483.0400000084
5208707,2021,2477,7724526.4599999962
5208707,2022,1710,6106458.9600000009
5300108,2009,253,1125391.1300000006
5300108,2010,336,437079.30000000022
5300108,2011,257,720193.74999999953
5300108,2012,299,484840.67999999976
5300108,2013,353,1202577.5399999996
5300108,2014,423,708924.040000001
5300108,2015,357,978909.9700000002
5300108,2016,389,34681475.029999979
5300108,2017,383,6134622.7399999974
5300108,2018,641,5411154.4599999934
5300108,2019,896,5372888.4800000116
5300108,2020,1191,85125705.89000003
5300108,2021,1577,68887823.289999947
5300108,2022,1258,8818698.3100000061
