;"Brasília";"Campo Grande";"Cuiabá";"Goiânia";"Belo Horizonte";"Rio de Janeiro";"São Paulo";"Vitória";"Curitiba";"Florianópolis";"Porto Alegre";"Belém";"Boa Vista";"Macapá";"Manaus";"Palmas";"Porto Velho";"Rio Branco";"Aracaju";"Fortaleza";"João Pessoa";"Maceió";"Natal";"Recife";"Salvador";"São Luís";"Teresina";"Macaé"
"09-2016";461,99;432,27;453,65;393,39;421,55;451,58;471,57;435,27;424,87;449,05;477,69;424,43;444,04;384,20;401,44;411,86;389,22;372,13;372,29;415,94;386,92;394,75;367,54;375,55;381,93;383,04;402,34;413,20
"10-2016";436,85;436,51;452,62;389,44;418,47;456,44;469,55;449,16;432,98;475,32;478,07;425,03;441,05;379,32;409,88;404,60;397,71;379,34;378,17;415,41;385,50;403,12;366,90;372,07;375,60;386,41;395,21;410,67
"11-2016";436,68;425,78;431,46;387,56;400,90;448,73;450,39;438,85;421,37;466,25;469,04;415,86;408,63;379,82;394,21;390,48;387,71;380,74;368,52;406,52;370,65;398,90;354,59;353,08;358,77;371,42;383,52;404,92
"12-2016";433,74;408,06;426,22;386,84;394,66;443,75;438,89;426,32;409,86;453,80;459,02;410,71;395,69;370,27;395,08;383,09;377,69;384,44;349,68;394,19;366,16;391,56;351,96;347,96;355,15;356,07;378,95;395,22
"01-2017";432,65;393,25;408,51;385,84;389,69;440,16;435,89;422,38;397,69;441,92;453,67;406,40;380,09;365,41;395,79;377,72;373,43;335,15;357,32;412,48;368,95;391,26;349,61;346,44;359,75;353,97;381,12;391,84
"02-2017";416,59;385,38;394,45;380,18;377,66;424,55;426,22;414,03;387,27;434,13;435,51;395,57;367,34;358,78;375,44;370,00;365,89;330,58;344,72;401,91;364,75;371,31;351,68;344,06;349,40;354,45;376,48;387,68
"03-2017";415,39;391,95;389,94;388,31;385,57;431,31;435,34;415,75;389,52;433,70;437,22;394,21;371,49;362,13;371,93;373,56;372,96;323,34;351,81;408,83;374,18;369,33;364,12;356,21;349,66;364,28;391,15;388,74
"04-2017";427,37;402,19;411,41;388,83;397,36;448,51;446,28;431,54;404,55;453,54;464,19;398,12;388,99;368,29;373,98;392,85;383,96;333,18;363,87;423,08;382,52;374,63;368,86;368,74;366,63;365,57;397,30;396,17
"05-2017";422,53;395,11;402,52;392,72;390,60;442,56;458,93;422,03;403,51;446,52;460,65;402,76;387,98;369,38;374,92;376,15;385,76;333,15;371,00;404,50;383,81;377,51;364,97;379,39;351,31;364,80;397,38;392,88
"06-2017";404,88;386,68;395,23;390,10;374,87;420,35;441,61;404,54;394,49;432,40;443,66;393,01;383,99;370,95;368,09;362,85;381,14;333,35;365,55;408,49;369,78;373,67;354,32;373,84;350,22;365,52;389,39;388,69
